Order_ID,Customer_ID,Product_ID,Category,Supplier,Region,Marketing_Channel,Order_Date,Price,Quantity,Customer_Age,Payment_Type,Shipping_Time_days,Delivery_Issue,Return_Flag,Return_Reason
ORD100000,CUST14714,PID7321,Home Decor,HomeSense,USA,Email,2023-04-13,73.6,1,35,Debit Card,1,No,0,
ORD100001,CUST11080,PID8814,Fashion,FabricHub,UK,Organic,2024-03-11,17.12,1,30,Credit Card,6,No,0,
ORD100002,CUST10888,PID9512,Fashion,TrendWear,UK,Organic,2023-09-28,62.15,1,25,Credit Card,5,Yes,1,Wrong Size
ORD100003,CUST10148,PID4521,Electronics,Digitron,Germany,Google Ads,2023-04-17,460.34,1,32,UPI,1,No,0,
ORD100004,CUST14468,PID9722,Sports,GearHouse,India,Referral,2023-03-13,89.13,3,41,Credit Card,6,No,0,
ORD100005,CUST12716,PID5482,Beauty,PureBeauty,Australia,Google Ads,2023-01-21,23.84,1,30,Debit Card,8,No,0,
ORD100006,CUST13604,PID1020,Home Decor,CozyLiving,India,Email,2024-09-06,96.61,1,22,UPI,3,No,0,
ORD100007,CUST14105,PID6083,Beauty,GlowLabs,USA,Organic,2023-05-02,32.39,1,29,Credit Card,9,No,0,
ORD100008,CUST10753,PID6104,Home Decor,CozyLiving,USA,Email,2024-04-11,51.39,1,19,Wallet,5,No,0,
ORD100009,CUST12291,PID5362,Electronics,GadgetPro,USA,Organic,2023-08-03,93.58,1,22,UPI,2,No,0,
ORD100010,CUST12493,PID7447,Fashion,StylishCo,India,Organic,2023-11-27,72.07,1,36,Wallet,1,Yes,0,
ORD100011,CUST14405,PID2361,Fashion,TrendWear,USA,Email,2024-04-03,31.78,2,28,Credit Card,1,No,0,
ORD100012,CUST11465,PID1402,Beauty,PureBeauty,USA,Google Ads,2023-03-29,14.83,1,20,Wallet,1,No,0,
ORD100013,CUST10511,PID6082,Electronics,TechWorks,India,Google Ads,2024-01-08,56.0,1,37,Credit Card,4,No,0,
ORD100014,CUST11053,PID5587,Fashion,FabricHub,UK,Facebook/Instagram,2023-04-10,46.19,1,25,Credit Card,1,No,0,
ORD100015,CUST14029,PID7445,Fashion,TrendWear,India,Organic,2024-10-25,20.44,1,33,Credit Card,7,No,0,
ORD100016,CUST11790,PID3928,Electronics,Digitron,India,Organic,2023-05-11,204.98,1,35,UPI,6,No,0,
ORD100017,CUST11934,PID6200,Fashion,TrendWear,Australia,Organic,2024-10-23,39.02,1,28,COD,7,No,0,
